labels,text
ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,"I'll text carlos and let you know, hang on"
ham,K.i did't see you.:)k:)where are you now?
ham,No message..no responce..what happend?
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,You flippin your shit yet?
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,I'm wif him now buying tix lar...
ham,Call me when u finish then i come n pick u.
ham,Dear how is chechi. Did you talk to her
ham,What's up. Do you want me to come online?
ham,Were somewhere on Fredericksburg
spam,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
ham,When can Ì_ come out?
ham,"K, if u bored up just come to my home.."
ham,Can Ì_ call me at 10:10 to make sure dat i've woken up...
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,A bloo bloo bloo I'll miss the first bowl
ham,"Yeah sure, give me a couple minutes to track down my wallet"
spam,"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,I'll reach in ard 20 mins ok...
ham,Wat Ì_ doing now?
ham,Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
